year,fed,best_name,best_rating,num_players
1975,IND,"Hassan,M. ",2380,3
1976,IND,"Parameswaren,T.N. ",2310,4
1977,IND,"Aaron,M. ",2295,3
1978,IND,"Thipsay,P. ",2360,4
1979,IND,"Thipsay,P. ",2360,12
1980,IND,"Thipsay,P. ",2360,12
1981,IND,"Aaron,M. ",2415,19
1982,IND,"Thipsay,P. ",2415,29
1983,IND,Ravisekhar  ,2405,36
1984,IND,"Barua,D. ",2460,45
1985,IND,"Thipsay,P. ",2470,55
1986,IND,"Thipsay,P. ",2485,59
1987,IND,"Anand,V. ",2500,66
1988,IND,"Anand,V. ",2520,79
1989,IND,"Anand,V. ",2515,87
1990,IND,"Anand,V. ",2555,112
1991,IND,"Anand,Viswanathan  ",2635,108
1992,IND,"Anand,Viswanathan  ",2670,134
1993,IND,"Anand,Viswanathan  ",2710,171
1994,IND,"Anand,Viswanathan  ",2715,203
1995,IND,"Anand,Viswanathan  ",2715,235
1996,IND,"Anand,Viswanathan  ",2725,322
1997,IND,"Anand,Viswanathan  ",2765,348
1998,IND,"Anand,Viswanathan  ",2770,408
1999,IND,"Anand, Viswanathan  ",2784,575
2000,IND,"Anand, Viswanathan  ",2769,700
2001,IND,"Anand, Viswanathan",2790,791
2002,IND,"Anand, Viswanathan",2757,645
2003,IND,"Anand, Viswanathan",2753,1119
2004,IND,"Anand, Viswanathan",2766,1507
2005,IND,"Anand, Viswanathan",2786,1863
2006,IND,undefined,2792,2207
2007,IND,"Anand, Viswanathan",2779,2740
2008,IND,"Anand, Viswanathan",2799,3341
2009,IND,"Anand, Viswanathan",2791,3936
2010,IND,"Anand, Viswanathan",2790,4867
2011,IND,"Anand, Viswanathan",2810,6234
2012,IND,"Anand, Viswanathan",2799,7954
2013,IND,"Anand, Viswanathan",2772,9529
2014,IND,"Anand, Viswanathan",2773,12098
2015,IND,"Anand, Viswanathan",2797,16722
2016,IND,"Anand, Viswanathan",2784,20123
2017,IND,"Anand, Viswanathan",2786,23660
2018,IND,"Anand, Viswanathan",2767,26929
2019,IND,"Anand, Viswanathan",2773,30013
2020,IND,"Anand, Viswanathan",2758,32730
1975,USA,"Fischer,R. ",2780,52
1976,USA,"Browne,W.S. ",2585,67
1977,USA,"Byrne,R. ",2580,80
1978,USA,"Kavalek,L. ",2570,99
1979,USA,"Kavalek,L. ",2590,127
1980,USA,"Kavalek,L. ",2600,168
1981,USA,"Alburt,L.O. ",2575,201
1982,USA,"Kavalek,L. ",2590,236
1983,USA,"Seirawan,Y. ",2600,246
1984,USA,"Browne,W.S. ",2585,261
1985,USA,"Dzindzichashvili,R. ",2570,302
1986,USA,"Seirawan,Y. ",2605,297
1987,USA,"Seirawan,Y. ",2595,325
1988,USA,"Gulko,B. ",2595,334
1989,USA,"Gulko,B. ",2610,354
1990,USA,"Gulko,B.F. ",2610,384
1991,USA,"Fischer, Robert J  ",2780,501
1992,USA,"Fischer, Robert J  ",2780,530
1993,USA,"Fischer, Robert J  ",2780,596
1994,USA,"Fischer, Robert J  ",2780,655
1995,USA,"Fischer, Robert J  ",2780,716
1996,USA,"Fischer, Robert J  ",2780,767
1997,USA,"Fischer, Robert J  ",2780,855
1998,USA,"Kamsky,Gata  ",2720,610
1999,USA,"Fischer, Robert J  ",2780,1012
2000,USA,"Fischer, Robert J  ",2780,1073
2001,USA,"Fischer, Robert J",2780,1111
